melding_id,tijdstip,locatie,apparaat,melding_type,urgentie,tekst
b9d1ebaf-3d72-4e3c-a70c-32c9ebd2dd46,2025-04-26 16:22:15,Zuidlaarderveen,slimme deurbel,bewegingsdetectie,laag,Automatische melding van bewegingsdetectie ontvangen van slimme deurbel in Zuidlaarderveen om 2025-04-26 16:22:15.
8c2dce6d-0b57-40f0-8615-5faca3c5679e,2025-04-21 16:53:08,Delft,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Delft om 2025-04-21 16:53:08.
7c44de01-3b79-46b5-a1e3-9e76b92ec7d8,2025-02-14 06:04:58,Schelluinen,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in Schelluinen om 2025-02-14 06:04:58.
096818ee-9227-414f-b6bb-43cd11c7ed65,2025-04-30 18:30:34,Nieuwlande Coevorden,thermostaat,temperatuuralarm,middel,Automatische melding van temperatuuralarm ontvangen van thermostaat in Nieuwlande Coevorden om 2025-04-30 18:30:34.
4ffdd5e9-af4f-4317-80a2-820d5bb07a86,2025-04-13 01:38:00,Haaksbergen,medisch alarm,paniekknop geactiveerd,hoog,Automatische melding van paniekknop geactiveerd ontvangen van medisch alarm in Haaksbergen om 2025-04-13 01:38:00.
7c1bba0b-1ec0-4b12-abee-1e6993279399,2025-01-19 10:06:05,De Moer,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in De Moer om 2025-01-19 10:06:05.
ae159043-2a80-4c01-93ca-43003c7aa811,2025-01-07 02:23:13,Bakel,smartwatch,valdetectie,hoog,Automatische melding van valdetectie ontvangen van smartwatch in Bakel om 2025-01-07 02:23:13.
cf7787a6-6916-4390-baa2-35367740eff3,2025-04-24 04:41:07,Heijenrath,smartwatch,hartslagalarm,hoog,Automatische melding van hartslagalarm ontvangen van smartwatch in Heijenrath om 2025-04-24 04:41:07.
21ceca6c-bf4d-4179-b06d-62c292f8346d,2025-03-24 02:29:14,Opeinde,bewegingssensor,bewegingsdetectie,hoog,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Opeinde om 2025-03-24 02:29:14.
1db1ac79-9ece-4be6-b62e-ff29be8c5004,2025-03-04 11:49:10,Tinallinge,rookmelder,rookdetectie,laag,Automatische melding van rookdetectie ontvangen van rookmelder in Tinallinge om 2025-03-04 11:49:10.
817ad502-75d9-4512-aa9f-70cc46f6cc4a,2025-04-13 11:21:29,Dieverbrug,watermelder,waterlekkage,middel,Automatische melding van waterlekkage ontvangen van watermelder in Dieverbrug om 2025-04-13 11:21:29.
e8e3a300-4264-4d6b-b698-f55ecbbb2692,2025-01-07 01:00:16,Moddergat,auto,automatische noodstop,middel,Automatische melding van automatische noodstop ontvangen van auto in Moddergat om 2025-01-07 01:00:16.
349acbcd-1deb-467a-8019-adfd348c4212,2025-01-24 05:37:42,Kreileroord,smartwatch,valdetectie,middel,Automatische melding van valdetectie ontvangen van smartwatch in Kreileroord om 2025-01-24 05:37:42.
6e15c1cc-fde2-4e29-b667-514fc38b82f0,2025-04-04 14:28:27,Bunschoten-Spakenburg,auto,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van auto in Bunschoten-Spakenburg om 2025-04-04 14:28:27.
4bd87ec7-6944-4f4e-a2df-781d439bebbf,2025-02-09 14:00:11,Werkhoven,medisch alarm,paniekknop geactiveerd,middel,Automatische melding van paniekknop geactiveerd ontvangen van medisch alarm in Werkhoven om 2025-02-09 14:00:11.
fbc2b501-2b36-411b-bca2-6249dfae262d,2025-04-03 22:01:33,Yerseke,rookmelder,rookdetectie,laag,Automatische melding van rookdetectie ontvangen van rookmelder in Yerseke om 2025-04-03 22:01:33.
